Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
MALAKA,2017,1160.63,186312.0,2357373.35,0.359,58.9
KOTA KUPANG,2017,180.27,412708.0,20571174.23,0.359,78.25
SAMBAS,2017,6394.7,529684.0,17506898.83,0.275,65.92
BENGKAYANG,2017,5396.3,247084.0,7389965.41,0.274,65.99
LANDAK,2017,8831.0,367790.0,8963775.89,0.293,64.93
MEMPAWAH,2017,2797.88,258216.0,6968917.65,0.273,64.0
SANGGAU,2017,12857.7,457701.0,16897887.24,0.279,64.61
KETAPANG,2017,31588.0,495087.0,22495910.92,0.29,65.71
SINTANG,2017,21638.0,407901.0,12282698.81,0.294,65.16
KAPUAS HULU,2017,29842.03,254712.0,8678123.81,0.325,64.18
SEKADAU,2017,6263.07,197683.0,5314817.43,0.287,63.04
MELAWI,2017,10640.8,202306.0,4359086.19,0.348,64.43
KAYONG UTARA,2017,4568.26,109101.0,3490006.3,0.322,61.52
KUBU RAYA,2017,8492.0,562917.0,23700994.16,0.29,66.31
KOTA PONTIANAK,2017,118.32,627021.0,33416835.37,0.327,77.93
KOTA SINGKAWANG,2017,504.0,215296.0,9013049.66,0.286,70.25
KOTAWARINGIN BARAT,2017,10759.0,290493.0,16344793.95,0.309,72.11
KOTAWARINGIN TIMUR,2017,16796.0,453492.0,22390687.01,0.349,70.17
KAPUAS,2017,14999.0,359976.0,13561465.61,0.31,68.04
BARITO SELATAN,2017,883.0,13245.0,5410055.7,0.326,69.25
BARITO UTARA,2017,83.0,132800.0,8254823.99,0.317,69.07
SUKAMARA,2017,3827.0,61232.0,3579967.13,0.337,66.98
LAMANDAU,2017,6414.0,76968.0,4524346.54,0.314,69.17
SERUYAN,2017,16404.0,196848.0,7585616.3,0.288,66.14
KATINGAN,2017,175.0,157500.0,6805596.05,0.266,67.56
PULANG PISAU,2017,8997.0,125958.0,4435289.81,0.295,67.0
GUNUNG MAS,2017,10805.0,118855.0,4694379.02,0.296,69.95
BARITO TIMUR,2017,3834.0,118854.0,6323809.97,0.307,70.57
MURUNG RAYA,2017,237.0,118500.0,6831135.71,0.303,67.16
KOTA PALANGKA RAYA,2017,2399.5,275942.0,14532145.67,0.379,79.69
TANAH LAUT,2017,3631.35,334328.0,12329412.41,0.259,68.0
KOTABARU,2017,9482.73,331326.0,21336569.18,0.326,67.79
BANJAR,2017,4668.0,571573.0,14411981.69,0.348,67.77
BARITO KUALA,2017,2996.46,306195.0,7444774.66,0.308,64.93
TAPIN,2017,2700.82,186672.0,7430807.64,0.331,68.7
HULU SUNGAI SELATAN,2017,1804.94,232587.0,5655334.31,0.336,67.8
HULU SUNGAI TENGAH,2017,1472.0,266501.0,6109980.6,0.302,67.78
HULU SUNGAI UTARA,2017,892.7,231594.0,4190377.35,0.309,64.21
TABALONG,2017,3766.97,247106.0,16211699.57,0.328,70.76
TANAH BUMBU,2017,5006.96,343193.0,17861272.06,0.295,69.12
BALANGAN,2017,1878.3,127503.0,10061817.36,0.411,67.25
KOTA BANJARMASIN,2017,72.0,692793.0,27838797.46,0.333,76.46
KOTA BANJAR BARU,2017,371.0,248423.0,7932470.34,0.365,78.32
PASER,2017,7730.88,191030.0,43954254.84,0.277,71.16
KUTAI BARAT,2017,20384.6,218523.0,25787193.5,0.269,70.18
KUTAI KARTANEGARA,2017,27263.1,788994.0,149220000.0,0.299,72.75
KUTAI TIMUR,2017,35747.5,400015.0,120264728.8,0.288,71.91
BERAU,2017,36962.37,375168.0,35656556.18,0.331,73.56
PENAJAM PASER UTARA,2017,3333.06,179785.0,8480809.02,0.303,70.59
MAHAKAM ULU,2017,15315.0,20675.0,2337696.08,0.266,66.09
KOTA BALIKPAPAN,2017,533.0,661773.0,87716528.79,0.328,79.01
KOTA SAMARINDA,2017,718.0,845179.0,58443748.71,0.323,79.46
KOTA BONTANG,2017,149.8,156661.0,58885677.79,0.327,79.47
MALINAU,2017,42620.7,83788.0,8497620.25,0.308,71.23
BULUNGAN,2017,13925.72,135770.0,15265248.47,0.308,70.74
TANA TIDUNG,2017,4828.58,25084.0,4753743.1,0.308,66.26
NUNUKAN,2017,13841.9,193390.0,20040898.42,0.308,65.1
KOTA TARAKAN,2017,250.8,253026.0,28004129.76,0.308,75.27
BOLAANG MONGONDOW,2017,5397.69,240505.0,6524201.18,0.35,66.08
MINAHASA,2017,1025.85,335321.0,14496512.68,0.35,74.59
KEPULAUAN SANGIHE,2017,736.98,130493.0,3663011.76,0.34,69.14
KEPULAUAN TALAUD,2017,1251.02,90678.0,1919783.49,0.35,67.74
MINAHASA SELATAN,2017,1456.46,208013.0,7344250.34,0.4,70.05
MINAHASA UTARA,2017,1059.24,200985.0,11449667.63,0.4,72.2
